OK 94ms 81.18.48.97:2053
OK 162ms de1.cnyvpn.com:2053
OK 123ms 77.42.73.91:22886 cached
OK 89ms 109.121.44.21:443
OK 92ms 109.121.44.81:443 cached
OK 67ms 102.177.176.30:8880 cached
OK 6ms 103.116.7.30:8880 cached
OK 6ms 103.133.1.30:8880 cached
OK 6ms 104.129.164.30:8880 cached
OK 5ms 104.238.68.30:8880 cached
OK 6ms 104.238.68.50:8880 cached
OK 6ms 104.238.71.30:8880 cached
OK 6ms 104.254.140.30:8880 cached
OK 6ms 104.254.140.40:8880 cached
OK 6ms 130.250.137.30:8880 cached
OK 6ms 135.84.64.111:443 cached
OK 6ms 135.84.72.30:8880 cached
OK 6ms 135.84.74.44:443 cached
OK 6ms 135.84.75.30:8880 cached
OK 6ms 135.84.75.50:8880 cached
OK 6ms 135.84.79.30:8880 cached
OK 6ms 139.64.235.30:8880 cached
OK 6ms 154.194.12.30:8880 cached
OK 6ms 154.194.12.40:8880 cached
OK 6ms 154.197.64.30:8880 cached
OK 6ms 154.197.75.40:8880 cached
OK 6ms 154.197.75.50:8880 cached
OK 3ms 155.46.167.30:8880
OK 6ms 155.46.213.30:8880 cached
OK 6ms 159.242.242.30:8880 cached
OK 6ms 160.153.1.139:443 cached
OK 6ms 160.153.1.30:8880 cached
OK 6ms 160.153.138.30:8880 cached
OK 6ms 160.153.168.30:8880 cached
OK 7ms 162.120.94.30:8880 cached
OK 7ms 162.251.82.30:8880 cached
OK 6ms 166.62.108.30:8880 cached
OK 6ms 166.62.109.30:8880 cached
OK 6ms 167.68.11.30:8880 cached
OK 7ms 181.214.1.30:8880 cached
OK 6ms 184.168.47.50:8880 cached
OK 7ms 185.135.9.30:8880 cached
OK 7ms 185.135.9.50:8880 cached
OK 6ms 185.148.104.30:8880 cached
OK 6ms 185.148.106.30:8880 cached
OK 6ms 185.148.106.50:8880 cached
OK 6ms 185.148.107.30:8880 cached
OK 6ms 185.148.107.40:8880 cached
OK 6ms 185.158.133.30:8880 cached
OK 6ms 185.158.133.40:8880 cached
OK 7ms 185.170.166.30:8880 cached
