OK 231ms 64.186.234.50:443 cached
OK 154ms 2.27.25.13:443 cached
OK 183ms 45.196.201.24:443 cached
OK 133ms 2.26.52.21:443 cached
OK 177ms 82.22.53.30:448 cached
OK 20ms 158.69.112.254:443 cached
OK 144ms 152.228.162.19:80 cached
OK 121ms 61.111.247.233:34045 cached
OK 249ms 161.118.195.117:8443 cached
OK 148ms 51.158.206.26:23576 cached
OK 92ms 31.76.91.71:443 cached
OK 80ms 150.241.83.19:443
OK 146ms 51.158.206.96:23576 cached
OK 106ms 152.69.195.67:47878 cached
OK 184ms 45.196.201.221:443 cached
OK 154ms 82.40.23.159:443 cached
OK 183ms 45.196.201.195:443 cached
OK 154ms 138.124.52.85:443 cached
OK 188ms 45.196.201.61:443 cached
OK 200ms novel-bat.rooster465.autos:443 cached
OK 188ms 45.196.201.99:443 cached
OK 183ms 45.196.201.85:443 cached
OK 174ms 45.145.163.115:39771 cached
OK 184ms 45.196.201.149:443 cached
OK 184ms 45.196.201.196:443 cached
OK 187ms 45.196.201.188:443 cached
OK 228ms in-colt.rooster465.autos:443 cached
OK 183ms 45.196.201.133:443 cached
OK 188ms 45.196.201.89:443 cached
OK 148ms 109.107.168.109:8444 cached
OK 158ms 45.144.53.81:443 cached
OK 100ms 91.209.71.82:8443 cached
OK 125ms 45.192.2.157:443
OK 161ms 50.114.55.14:10001 cached
OK 187ms 45.196.201.6:443 cached
OK 183ms 45.196.201.63:443 cached
OK 146ms 163.5.153.153:443 cached
OK 187ms 45.196.201.109:443 cached
OK 187ms 45.196.201.26:443 cached
OK 164ms 193.233.136.85:2053 cached
OK 183ms 45.196.201.39:443 cached
OK 31ms 167.17.68.205:443 cached
OK 170ms 83.222.20.64:17910 cached
OK 605ms deepus.ietotozheproidet.site:443 cached
OK 6ms 176.124.223.16:2087 cached
OK 184ms 45.196.201.40:443 cached
OK 174ms 195.133.18.161:30153 cached
OK 115ms 46.246.92.109:443 cached
OK 185ms 45.196.201.98:443 cached
OK 172ms 85.192.49.186:443 cached
OK 149ms 144.31.87.16:443 cached
OK 150ms 93.152.224.198:443 cached
OK 503ms de.ko.prod.n7.homes:8443 cached
OK 188ms 45.196.201.120:443 cached
OK 153ms 57.129.41.216:80 cached
OK 91ms 154.83.246.41:443 cached
OK 415ms evident-gnat.rooster465.autos:443 cached
OK 155ms 77.73.131.154:443 cached
OK 188ms 45.196.201.180:443 cached
OK 6ms 151.101.193.54:80 cached
OK 171ms 185.155.97.58:45176 cached
OK 184ms 45.196.201.30:443 cached
OK 183ms 45.196.201.57:443 cached
OK 165ms 144.31.113.56:58427 cached
OK 183ms 2.27.105.172:443 cached
OK 188ms 45.196.201.77:443 cached
OK 115ms 193.148.19.213:52794 cached
OK 151ms 82.39.171.148:443 cached
OK 184ms 45.196.201.75:443 cached
OK 184ms 45.196.201.237:443 cached
OK 179ms us.sv.temas-bor.ir:22027 cached
OK 184ms 45.196.201.73:443 cached
OK 188ms 45.196.201.11:443 cached
OK 145ms 62.210.91.2:23576 cached
OK 184ms 45.196.201.117:443 cached
OK 183ms 45.196.201.41:443 cached
OK 187ms 45.196.201.107:443 cached
OK 145ms 51.158.206.80:23576 cached
OK 81ms 15.204.97.219:23576 cached
OK 184ms 45.196.201.131:443 cached
OK 132ms 31.76.39.24:443 cached
OK 184ms 45.196.201.194:443 cached
OK 156ms 64.188.126.226:3468 cached
OK 153ms 89.23.108.122:2443 cached
OK 62ms us-1.124515.xyz:443 cached
OK 184ms 45.196.201.95:443 cached
OK 30ms 64.186.229.189:443 cached
OK 99ms 195.16.73.202:443 cached
OK 154ms 152.53.127.214:443 cached
OK 184ms 45.196.201.114:443 cached
OK 145ms 51.158.206.87:23576 cached
OK 184ms 45.196.201.34:443 cached
OK 161ms 138.2.87.237:443 cached
OK 167ms 193.124.57.208:20342 cached
OK 149ms 51.158.206.93:23576 cached
OK 119ms 93.114.194.115:448 cached
OK 150ms 62.133.62.60:443 cached
OK 173ms 5.199.170.105:443 cached
OK 184ms 45.196.201.100:443 cached
OK 153ms 152.53.239.182:443 cached
OK 113ms 152.53.47.153:16923 cached
OK 187ms 45.196.201.165:443 cached
OK 145ms 91.84.117.29:443 cached
OK 187ms 45.196.201.232:443 cached
OK 188ms 45.196.201.155:443 cached
OK 148ms 35.180.187.82:12228 cached
OK 145ms 51.158.206.12:23576 cached
OK 119ms 93.114.194.114:448 cached
OK 183ms 45.196.201.66:443 cached
OK 156ms 57.131.32.191:80 cached
OK 142ms 176.125.241.103:443
OK 189ms 45.196.201.32:443 cached
OK 425ms 34.35.11.97:24822 cached
OK 111ms stirring-bat.rooster465.autos:443 cached
